PAARID;KOHAD;POS_KOHAD;KOLLOKAADID;POS_KOLLOKAADID;NER_KOLLOKAADID;KOKKU;KOHT_KOKKU;KOLL_KOKKU;N;E;Z-skoor
Lasna määratu;Lasna;H;määratu;A;O;1;8;4;45442;0.0007041943576427094;37.65717998196835
Saksa-Rootsi terve;Saksa-Rootsi;H;terve;A;O;1;1;33;45442;0.000726200431319044;37.081410831179745
Marienthal täis;Marienthal;H;täis;A;O;1;1;34;45442;0.0007482065049953787;36.53122171473616
Maarja täis;Maarja;H;täis;A;O;1;1;34;45442;0.0007482065049953787;36.53122171473616
Harju vaikne;Harju;H;vaikne;A;O;1;7;5;45442;0.0007702125786717133;36.00477228584339
Harju aastane;Harju;H;aastane;A;O;1;7;5;45442;0.0007702125786717133;36.00477228584339
Harju tuttav;Harju;H;tuttav;A;O;1;7;5;45442;0.0007702125786717133;36.00477228584339
Rootsi pakutud;Rootsi;H;pakutud;A;O;1;18;2;45442;0.0007922186523480481;35.50040239203536
Tõnismägi üksik;Tõnismägi;H;üksik;A;O;1;3;13;45442;0.0008582368733770521;34.10542985239096
Jägala sinine;Jägala;H;sinine;A;O;1;8;5;45442;0.0008802429470533867;33.675671934542706
Kuimetsa kindel;Kuimetsa;H;kindel;A;O;4;29;23;45442;0.014678051142115223;32.89494864818737
Saksa jõukas;Saksa;H;jõukas;A;O;1;21;2;45442;0.000924255094406056;32.86264300398669
Eesti prii;Eesti;H;prii;A;O;1;21;2;45442;0.000924255094406056;32.86264300398669
Poola viimane;Poola;H;viimane;A;O;1;3;15;45442;0.00099027331543506;31.74623146919233
Eesti kuulus;Eesti;H;kuulus;A;O;2;21;9;45442;0.004159147924827252;30.94736836765567
Lasna tagumine;Lasna;H;tagumine;A;O;1;8;6;45442;0.0010562915364640641;30.73612515631842
Pirita lihane;Pirita;H;lihane;A;O;1;16;3;45442;0.0010562915364640641;30.73612515631842
Rootsimaa kallis;Rootsimaa;H;kallis;A;O;1;2;24;45442;0.0010562915364640641;30.73612515631842
Pirita viimne;Pirita;H;viimne;A;O;3;16;27;45442;0.009506623828176576;30.671123878285933
